n,tipo,dominio,muestra,algoritmo,tiempo_ms
100000,descendente,D1,a,quicksort,1.5915
100000,descendente,D1,a,patiencesort,1.0902
100000,descendente,D1,b,sort,1.2116
100000,descendente,D1,b,mergesort,2.1226
100000,descendente,D1,b,quicksort,1.2863
100000,descendente,D1,b,patiencesort,1.2208
100000,descendente,D1,c,sort,0.9369
100000,descendente,D1,c,mergesort,1.697
100000,descendente,D1,c,quicksort,1.3384
100000,descendente,D1,c,patiencesort,0.9996
100000,descendente,D7,a,sort,0.7962
100000,descendente,D7,a,mergesort,2.0645
100000,descendente,D7,a,quicksort,1.1497
100000,descendente,D7,a,patiencesort,0.9716
100000,descendente,D7,b,sort,0.801
100000,descendente,D7,b,mergesort,1.6921
100000,descendente,D7,b,quicksort,1.2902
100000,descendente,D7,b,patiencesort,0.9033
100000,descendente,D7,c,sort,1.2
100000,descendente,D7,c,mergesort,1.9109
100000,descendente,D7,c,quicksort,1.1947
100000,descendente,D7,c,patiencesort,1.3735
100000,aleatorio,D1,a,sort,2.0183
100000,aleatorio,D1,a,mergesort,3.6013
100000,aleatorio,D1,a,quicksort,3.1285
100000,aleatorio,D1,a,patiencesort,2.5899
100000,aleatorio,D1,b,sort,2.4327
100000,aleatorio,D1,b,mergesort,3.4523
100000,aleatorio,D1,b,quicksort,2.355
100000,aleatorio,D1,b,patiencesort,2.7369
100000,aleatorio,D1,c,sort,1.8747
100000,aleatorio,D1,c,mergesort,3.6928
100000,aleatorio,D1,c,quicksort,2.2183
100000,aleatorio,D1,c,patiencesort,3.1336
100000,aleatorio,D7,a,sort,5.1545
100000,aleatorio,D7,a,mergesort,6.3569
100000,aleatorio,D7,a,quicksort,7.0532
100000,aleatorio,D7,a,patiencesort,7.4361
100000,aleatorio,D7,b,sort,5.1508
100000,aleatorio,D7,b,mergesort,7.4184
100000,aleatorio,D7,b,quicksort,6.3758
100000,aleatorio,D7,b,patiencesort,7.4556
100000,aleatorio,D7,c,sort,5.2657
100000,aleatorio,D7,c,mergesort,6.6201
100000,aleatorio,D7,c,quicksort,6.1773
100000,aleatorio,D7,c,patiencesort,7.3815
10000000,ascendente,D1,a,sort,74.818
10000000,ascendente,D1,a,mergesort,177.639
10000000,ascendente,D1,a,quicksort,122.076
10000000,ascendente,D1,a,patiencesort,114.078
10000000,ascendente,D1,b,sort,76.0149
10000000,ascendente,D1,b,mergesort,182.536
10000000,ascendente,D1,b,quicksort,124.727
10000000,ascendente,D1,b,patiencesort,119.791
10000000,ascendente,D1,c,sort,75.9353
10000000,ascendente,D1,c,mergesort,186.578
10000000,ascendente,D1,c,quicksort,124.789
10000000,ascendente,D1,c,patiencesort,128.17
10000000,ascendente,D7,a,sort,111.383
10000000,ascendente,D7,a,mergesort,182.24
10000000,ascendente,D7,a,quicksort,176.085
10000000,ascendente,D7,a,patiencesort,1459.28
10000000,ascendente,D7,b,sort,113.751
10000000,ascendente,D7,b,mergesort,168.095
10000000,ascendente,D7,b,quicksort,169.059
10000000,ascendente,D7,b,patiencesort,1431.67
10000000,ascendente,D7,c,sort,111.866
10000000,ascendente,D7,c,mergesort,173.15
10000000,ascendente,D7,c,quicksort,173.663
10000000,ascendente,D7,c,patiencesort,1424.67
10000000,descendente,D1,a,sort,75.4332
10000000,descendente,D1,a,mergesort,178.483
10000000,descendente,D1,a,quicksort,119.961
10000000,descendente,D1,a,patiencesort,60.82
10000000,descendente,D1,b,sort,76.5018
10000000,descendente,D1,b,mergesort,173.361
10000000,descendente,D1,b,quicksort,119.119
10000000,descendente,D1,b,patiencesort,59.9865
10000000,descendente,D1,c,sort,75.0061
10000000,descendente,D1,c,mergesort,172.248
10000000,descendente,D1,c,quicksort,117.531
10000000,descendente,D1,c,patiencesort,65.0887
10000000,descendente,D7,a,sort,102.732
10000000,descendente,D7,a,mergesort,210.592
10000000,descendente,D7,a,quicksort,169.1
10000000,descendente,D7,a,patiencesort,87.6346
10000000,descendente,D7,b,sort,104.509
10000000,descendente,D7,b,mergesort,212.209
10000000,descendente,D7,b,quicksort,168.688
10000000,descendente,D7,b,patiencesort,82.7909
10000000,descendente,D7,c,sort,107.519
10000000,descendente,D7,c,mergesort,217.327
10000000,descendente,D7,c,quicksort,167.702
10000000,descendente,D7,c,patiencesort,76.38
10000000,aleatorio,D1,a,sort,173.8
10000000,aleatorio,D1,a,mergesort,389.981
10000000,aleatorio,D1,a,quicksort,207.845
10000000,aleatorio,D1,a,patiencesort,216.91
10000000,aleatorio,D1,b,sort,176.621
10000000,aleatorio,D1,b,mergesort,372.41
10000000,aleatorio,D1,b,quicksort,219.061
10000000,aleatorio,D1,b,patiencesort,229.986
10000000,aleatorio,D1,c,sort,171.132
10000000,aleatorio,D1,c,mergesort,386.433
10000000,aleatorio,D1,c,quicksort,210.558
10000000,aleatorio,D1,c,patiencesort,227.514
10000000,aleatorio,D7,a,sort,581.998
10000000,aleatorio,D7,a,mergesort,844.573
10000000,aleatorio,D7,a,quicksort,702.215
10000000,aleatorio,D7,a,patiencesort,968.061
10000000,aleatorio,D7,b,sort,578.856
10000000,aleatorio,D7,b,mergesort,829.685
10000000,aleatorio,D7,b,quicksort,700.716
10000000,aleatorio,D7,b,patiencesort,966.846
10000000,aleatorio,D7,c,sort,584.258
10000000,aleatorio,D7,c,mergesort,839.134
10000000,aleatorio,D7,c,quicksort,700.791
10000000,aleatorio,D7,c,patiencesort,953.541
